"filename", "language", "JSON with Comments", "TypeScript JSX", "TypeScript", "CSS", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"f:\Projects\React\broker-crm-admin-ts\.vs\ProjectSettings.json", "JSON", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"f:\Projects\React\broker-crm-admin-ts\.vs\VSWorkspaceState.json", "JSON", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"f:\Projects\React\broker-crm-admin-ts\README.md", "Markdown", 0, 0, 0, 0, 0, 26, 0, 0, 0, 21, 47
"f:\Projects\React\broker-crm-admin-ts\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 16998, 0, 0, 1, 16999
"f:\Projects\React\broker-crm-admin-ts\package.json", "JSON", 0, 0, 0, 0, 0, 0, 76, 0, 0, 1, 77
"f:\Projects\React\broker-crm-admin-ts\public\data\wilayas.json", "JSON", 0, 0, 0, 0, 0, 0, 7387, 0, 0, 0, 7387
"f:\Projects\React\broker-crm-admin-ts\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"f:\Projects\React\broker-crm-admin-ts\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"f:\Projects\React\broker-crm-admin-ts\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\Projects\React\broker-crm-admin-ts\src\App.test.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"f:\Projects\React\broker-crm-admin-ts\src\App.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 15, 4, 32
"f:\Projects\React\broker-crm-admin-ts\src\api\globals.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"f:\Projects\React\broker-crm-admin-ts\src\components\button\button.component.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 7, 20
"f:\Projects\React\broker-crm-admin-ts\src\components\button\button.style.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"f:\Projects\React\broker-crm-admin-ts\src\components\circle-avatar\circle-avatar.component.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 8, 21
"f:\Projects\React\broker-crm-admin-ts\src\components\circle-avatar\circle-avatar.style.css", "CSS", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
"f:\Projects\React\broker-crm-admin-ts\src\components\circular-progress-label\circular-progress-label.component.tsx", "TypeScript JSX", 0, 62, 0, 0, 0, 0, 0, 0, 0, 4, 66
"f:\Projects\React\broker-crm-admin-ts\src\components\clients-doctor-table\clients-doctor-table.component.tsx", "TypeScript JSX", 0, 110, 0, 0, 0, 0, 0, 0, 0, 15, 125
"f:\Projects\React\broker-crm-admin-ts\src\components\clients-pharmacy-table\clients-pharmacy-table.component.tsx", "TypeScript JSX", 0, 126, 0, 0, 0, 0, 0, 0, 0, 12, 138
"f:\Projects\React\broker-crm-admin-ts\src\components\comand-panel\command-panel.component.tsx", "TypeScript JSX", 0, 181, 0, 0, 0, 0, 0, 0, 0, 8, 189
"f:\Projects\React\broker-crm-admin-ts\src\components\command-cam-table\command-cam-table.component.tsx", "TypeScript JSX", 0, 236, 0, 0, 0, 0, 0, 0, 0, 17, 253
"f:\Projects\React\broker-crm-admin-ts\src\components\command-cam-table\command-cam-table.style.css", "CSS", 0, 0, 0, 88, 0, 0, 0, 0, 8, 18, 114
"f:\Projects\React\broker-crm-admin-ts\src\components\command-delegate-table\command-delegate-table.component.tsx", "TypeScript JSX", 0, 228, 0, 0, 0, 0, 0, 0, 0, 16, 244
"f:\Projects\React\broker-crm-admin-ts\src\components\command-delegate-table\command-delegate-table.style.css", "CSS", 0, 0, 0, 88, 0, 0, 0, 0, 8, 18, 114
"f:\Projects\React\broker-crm-admin-ts\src\components\comment-table\comment-table.component.tsx", "TypeScript JSX", 0, 86, 0, 0, 0, 0, 0, 0, 0, 16, 102
"f:\Projects\React\broker-crm-admin-ts\src\components\custom-tab-panel\costum-tab-panel.component.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
